 ,Baeredygtig Energiteknik,Biologi,Bioteknologi,By- energi- og miljoeplanlaegning,Byggeri og anlaeg,Datalogi/Software/Datavidenskab,Elektronik diplomingenioer,Fysik,Kemi,Matematik,Matematik-oekonomi,Nanoteknologi
at arbejde tvaerfagligt,0.6,0.5,0.7,0.8,0.8,0.3,0.3,0.6,0.6,0.5,0.7,0.9
at anvende eller fremstille computer programmer?,0.6,0.2,0.5,0.2,0.5,0.9,0.7,0.6,0.6,0.3,0.5,0.2
at laere om den fysiske verden?,0.6,0.9,0.7,0.6,0.2,0.1,0.6,0.9,0.9,0.6,0.6,0.7
matematik?,0.4,0.6,0.7,0.9,0.9,0.9,0.8,0.9,0.7,1.0,1.0,0.6
laeren om kroppen?,0.1,0.9,0.9,0.1,0.1,0.1,0.1,0.3,0.6,0.1,0.1,0.6
videnskabelig undersoegelser,0.2,0.8,0.9,0.1,0.1,0.5,0.2,0.8,0.8,0.5,0.4,0.9
at arbejde med teori?,0.2,0.5,0.6,0.2,0.1,0.4,0.7,0.7,0.8,0.8,0.8,0.9
baeredygtighed?,0.8,0.6,0.2,0.8,0.8,0.5,0.6,0.1,0.1,0.1,0.6,0.2
elektronik?,0.7,0.2,0.2,0.6,0.2,0.8,0.8,0.5,0.3,0.2,0.3,0.6
at udvikle teknologier?,0.7,0.5,0.8,0.9,0.5,0.9,0.9,0.8,0.8,0.5,0.3,1.0
byggeri og konstruktion?,0.5,0.2,0.2,0.6,0.9,0.3,0.2,0.2,0.2,0.2,0.2,0.2
at arbejde med oekonomi?,0.2,0.1,0.2,0.3,0.2,0.1,0.2,0.2,0.3,0.2,0.9,0.3
